food_code,food_description,method,method_description,nhanes,price_100gm
27564243,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.68983
27564250,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bread (Includes other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564260,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bread",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564300,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on white bun (Includes all meats / poultry; bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564301,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bun (Includes all meats / poultry)",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
27564310,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on white bread (Includes all meats / poultry; other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564320,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bread (Includes all meats / poultry)",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564360,"Frankfurter or hot dog sandwich, fat free, plain, on white bun (Includes all meats / poultry)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564361,"Frankfurter or hot dog sandwich, fat free, plain, on wheat bun (Includes all meats / poultry)",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
27564370,"Frankfurter or hot dog sandwich, fat free, plain, on white bread (Includes all meats / poultry; other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564380,"Frankfurter or hot dog sandwich, fat free, plain, on wheat bread (Includes all meats / poultry)",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564430,"Frankfurter or hot dog sandwich, meatless, plain, on bread (Includes meat substitute; vegetarian; any type of bread; tofu dog)",3,Original FNDDS recipe,Base,1.000939
27564440,"Frankfurter or hot dog sandwich, with chili, on white bun (Includes chili dog; all meats / poultry; chili with meat; bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.500885
27564441,"Frankfurter or hot dog sandwich, with chili, on wheat bun (Includes chili dog; all meats / poultry; chili with meat)",4,FNDDS recipe with replaced or modified SR codes,Base,0.523805
27564442,"Frankfurter or hot dog sandwich, with chili, on whole wheat bun (Includes chili dog; all meats / poultry; chili with meat; whole grain bun)",4,FNDDS recipe with replaced or modified SR codes,Base,0.523805
27564450,"Frankfurter or hot dog sandwich, with chili, on white bread (Includes chili dog; all meats / poultry; chili with meat; other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.490565
